Type,Iterations,Time,OptIterations,Discount,Epsilon,SCost,NegTerm,PosTerm,KeyLoss
value,64,0.003824,31,0.999999,1e-06,-0.04,-1,0.01,0.5
value,64,0.003996,31,0.999999,1e-06,-0.04,-1,0.02,0.5
value,64,0.003854,31,0.999999,1e-06,-0.04,-1,0.03,0.5
value,64,0.003846,31,0.999999,1e-06,-0.04,-1,0.04,0.5
value,64,0.003866,31,0.999999,1e-06,-0.04,-1,0.05,0.5
value,64,0.004324,31,0.999999,1e-06,-0.04,-1,0.06,0.5
value,64,0.003813,31,0.999999,1e-06,-0.04,-1,0.07,0.5
value,64,0.004092,31,0.999999,1e-06,-0.04,-1,0.08,0.5
value,64,0.00445,31,0.999999,1e-06,-0.04,-1,0.09,0.5
value,64,0.00397,31,0.999999,1e-06,-0.04,-1,0.1,0.5
value,64,0.004294,31,0.999999,1e-06,-0.04,-1,0.11,0.5
value,64,0.004559,31,0.999999,1e-06,-0.04,-1,0.12,0.5
value,64,0.003793,31,0.999999,1e-06,-0.04,-1,0.13,0.5
value,64,0.004476,31,0.999999,1e-06,-0.04,-1,0.14,0.5
value,64,0.006113,31,0.999999,1e-06,-0.04,-1,0.15,0.5
value,64,0.004801,31,0.999999,1e-06,-0.04,-1,0.16,0.5
value,64,0.004516,31,0.999999,1e-06,-0.04,-1,0.17,0.5
value,64,0.004062,31,0.999999,1e-06,-0.04,-1,0.18,0.5
value,64,0.003951,31,0.999999,1e-06,-0.04,-1,0.19,0.5
value,64,0.003888,31,0.999999,1e-06,-0.04,-1,0.2,0.5
value,64,0.003937,31,0.999999,1e-06,-0.04,-1,0.21,0.5
value,64,0.005453,31,0.999999,1e-06,-0.04,-1,0.22,0.5
value,64,0.004034,31,0.999999,1e-06,-0.04,-1,0.23,0.5
value,64,0.004463,31,0.999999,1e-06,-0.04,-1,0.24,0.5
value,64,0.004015,31,0.999999,1e-06,-0.04,-1,0.25,0.5
value,64,0.005032,31,0.999999,1e-06,-0.04,-1,0.26,0.5
value,64,0.003932,31,0.999999,1e-06,-0.04,-1,0.27,0.5
value,64,0.003988,31,0.999999,1e-06,-0.04,-1,0.28,0.5
value,64,0.003798,31,0.999999,1e-06,-0.04,-1,0.29,0.5
value,64,0.004592,31,0.999999,1e-06,-0.04,-1,0.3,0.5
value,64,0.004301,31,0.999999,1e-06,-0.04,-1,0.31,0.5
value,64,0.004687,31,0.999999,1e-06,-0.04,-1,0.32,0.5
value,64,0.004002,31,0.999999,1e-06,-0.04,-1,0.33,0.5
